snapshot,AL_ror_2025,AT_ror_2025,BA_ror_2025,BE_ror_2025,BG_ror_2025,CH_ror_2025,CZ_ror_2025,DE_ror_2025,EE_ror_2025,ES_ror_2025,FI_ror_2025,FR_ror_2025,GR_ror_2025,HR_ror_2025,HU_ror_2025,IE_ror_2025,IT_ror_2025,LT_ror_2025,LU_ror_2025,LV_ror_2025,MD_ror_2025,ME_ror_2025,MK_ror_2025,NL_ror_2025,NO_ror_2025,PL_ror_2025,PT_ror_2025,RO_ror_2025,RS_ror_2025,SE_ror_2025,SI_ror_2025,SK_ror_2025,UK_ror_2025,XK_ror_2025
01.01.2025 14:00,0.0613,0.299986,0.183123,0.692979,0.134853,0.246591,0.457002,0.599655,0,0.40613,0.783495,0.499482,0.26014,0.281444,0.441862,0.762917,0.237899,0.249103,0.674684,0.164729,0,0.15768,0.02136,0,0.57756,0.563974,0.033557,0.348145,0.36792,0.34794,0.178059,0.211921,0.19482,0.08141
01.01.2025 15:00,0.06104,0.321867,0.331863,0.693452,0.206006,0.246428,0.423035,0.590565,0,0.414888,0.766016,0.488868,0.25319,0.28276,0,0.767305,0.250969,0.249086,0.668282,0.260917,0,0.15769,0.02123,0,0.577675,0.592217,0.042866,0.408312,0.507769,0.34773,0.251885,0.321965,0.19479,0.08099
01.01.2025 16:00,0.06087,0.360051,0.372781,0.687551,0.339107,0,0.402968,0.591442,0,0.487137,0.850646,0.484453,0.2449,0.339538,0.441032,0.761997,0.30874,0.249229,0.691988,0.281464,0,0.15765,0.02125,0,0.579122,0.652511,0.050544,0.410109,0.696241,0.34759,0.40734,0.403974,0.19476,0.08085
01.01.2025 17:00,0.06071,0.370322,0.397598,0.689844,0.385541,0.246673,0.368239,0.594472,0,0.519431,0.866465,0.511835,0.23631,0.421884,0.442099,0.769483,0.391545,0.248751,0.708312,0.443681,0,0.1576,0.02124,0,0.583228,0.668117,0.092538,0.473111,0.745865,0.34746,0.577557,0.395033,0.19473,0.08066
01.01.2025 18:00,0.06057,0.36295,0.360665,0.690956,0.386098,0.247026,0.381364,0.591532,0,0.502463,0.814294,0.544814,0.22773,0.485054,0.44115,0.767274,0.449487,0.248902,0.715003,0.461477,0,0.15756,0.02124,0,0.579087,0.718508,0.153566,0.459696,0.591479,0.34734,0.573189,0.38245,0.19471,0.08049
01.01.2025 19:00,0.06046,0.360885,0.365129,0.69625,0.369081,0.247598,0.396799,0.596057,0,0.518336,0.773048,0.538827,0.21921,0.500846,0,0.764206,0.428754,0.249086,0.715925,0.477299,0,0.15754,0.02122,0,0.572966,0.702305,0.369241,0.465046,0.586466,0.34723,0.538515,0.383554,0.19468,0.0803
01.01.2025 20:00,0.06035,0.359345,0.355776,0,0.221438,0.248306,0.397433,0.586663,0,0.512863,0.708994,0.522948,0.21081,0.493514,0.44115,0.769913,0.417472,0.248751,0.718925,0.431917,0.46875,0.15751,0.02121,0,0.56915,0.600045,0.4461,0.463888,0.566416,0.34711,0.510157,0.361921,0.19465,0.08016
01.01.2025 21:00,0.06025,0.33308,0.329737,0.7006,0.14389,0.249149,0.428151,0.581859,0,0.519431,0.757888,0.51213,0.20321,0.424704,0,0.765648,0.376304,0.248877,0.700467,0.47023,0.4375,0.15749,0.0212,0,0.565871,0.51535,0.417738,0.466882,0.519799,0.347,0.466667,0.29426,0.19463,0.08003
01.01.2025 22:00,0.06018,0.318498,0.302901,0.695036,0.122174,0.250157,0.391937,0.58269,0,0.521803,0.71026,0.493741,0.19596,0.371404,0,0.767704,0.303887,0.371213,0.661706,0.358141,0.328125,0.15747,0.02118,0,0.557344,0.502645,0.219884,0.411786,0.506266,0.3469,0.326636,0.222185,0.1946,0.07988
01.01.2025 23:00,0.0601,0.307195,0.273887,0.686303,0.125789,0.251272,0.394438,0.580545,0,0.501368,0.627854,0.488278,0.1893,0.309927,0.429173,0.765218,0.270765,0.418779,0.675722,0.204907,0.265625,0.15746,0.02118,0,0.554254,0.502783,0.20485,0.407075,0.402506,0.3468,0.197781,0.218102,0.19457,0.07978
02.01.2025 00:00,0.06003,0.29841,0.244022,0.669241,0.127847,0.252606,0.442227,0.577233,0,0.488232,0.634758,0.493901,0.18312,0.211224,0.428817,0.763193,0.258504,0.249791,0.675203,0.180481,0.234375,0.15744,0.02118,0,0.55317,0.512833,0.061085,0.361241,0.333835,0.34671,0.090395,0.207616,0.19455,0.07969
02.01.2025 01:00,0.05997,0.291472,0.15076,0.667993,0.128708,0.254021,0.468946,0.576092,0,0.471447,0.549437,0.492894,0.17739,0.189133,0,0.769759,0.2462,0,0.671166,0.15473,0,0.15743,0.02118,0,0.554437,0.511314,0.046411,0.351659,0.251128,0.34662,0.088096,0.206291,0.19453,0.07961
02.01.2025 02:00,0.05991,0.293646,0.116962,0.67241,0.132017,0.255546,0.469314,0.577028,0,0.455391,0.482606,0.483065,0.17201,0.188381,0.429291,0.769269,0.24024,0.249657,0.661706,0.149815,0,0.15742,0.02118,0,0.55181,0.51206,0.087172,0.350222,0.293734,0.34653,0.088176,0.207395,0.1945,0.07953
02.01.2025 03:00,0.05986,0.287342,0,0.674063,0.130544,0.257206,0.469162,0.569752,0,0.436234,0.487266,0.477984,0.16708,0,0.429766,0.764666,0.232875,0.249791,0.665167,0.157551,0,0.15741,0.02117,0,0.553427,0.511063,0.045311,0.350701,0.342857,0.34645,0.088065,0.207506,0.19447,0.07946
02.01.2025 04:00,0.05981,0.28794,0.116856,0.671905,0.130127,0.259002,0.321846,0.57189,0,0.431856,0.582651,0.464981,0.16232,0,0.432612,0.763715,0.23262,0.249959,0.667243,0.172286,0,0.15739,0.02116,0,0.55694,0.512633,0.042487,0.353815,0.342356,0.34637,0.088166,0.207174,0.19445,0.07939
02.01.2025 05:00,0.05977,0.29015,0.117069,0.667791,0.142639,0.260853,0.381796,0.568392,0,0.428024,0.730654,0.45777,0.15804,0,0.4319,0.766446,0.244838,0.249858,0.667417,0.173572,0,0.15738,0.02115,0,0.562746,0.511339,0.045785,0.346868,0.324812,0.34631,0.088286,0.205408,0.19443,0.0793
02.01.2025 06:00,0.05974,0.306959,0.180359,0.67123,0.226971,0.262813,0.406991,0.568685,0,0.433498,0.773389,0.496822,0.15407,0.233503,0.432138,0.768409,0.257596,0.248549,0.692507,0.242104,0.28125,0.15736,0.02114,0,0.572471,0.557982,0.09085,0.403082,0.357393,0.34624,0.111704,0.201766,0.1944,0.07924
02.01.2025 07:00,0.0597,0.317773,0.314008,0.676086,0.260086,0.264881,0.369454,0.577125,0,0.451013,0.846763,0.568175,0.15013,0.304569,0.427868,0.771294,0.353357,0.259975,0.694065,0.387891,0.421875,0.15735,0.02115,0,0.590739,0.678172,0.040856,0.381962,0.366917,0.34617,0.309615,0.323731,0.19438,0.07918
02.01.2025 08:00,0.05968,0.339764,0.377139,0.66162,0.19861,0.267004,0.380184,0.594827,0,0.475096,0.865721,0.611467,0.14651,0.366234,0.427236,0.769176,0.418323,0.259992,0.706697,0.383584,0.46875,0.15733,0.02115,0,0.601048,0.679359,0.136162,0.39366,0.458647,0.34611,0.287563,0.334437,0.19435,0.07913
02.01.2025 09:00,0.05963,0.31886,0.395154,0.639095,0.151147,0.269236,0.426361,0.598779,0,0.482211,0.907583,0.641097,0.14363,0.375353,0,0.765065,0.411895,0.342506,0.647171,0.342419,0.484375,0.15731,0.02115,0,0.609752,0.653344,0.117829,0.360762,0.574937,0.34606,0.31819,0.337638,0.19433,0.07911
02.01.2025 10:00,0.05959,0.300004,0.345786,0.675883,0.129876,0.271522,0.400264,0.600779,0,0.482211,0.87604,0.65697,0.14184,0.351946,0.427157,0.764574,0.336924,0.511192,0.705831,0.39789,0,0.15731,0.02116,0,0.605277,0.603622,0.058943,0.318361,0.508772,0.34601,0.254255,0.213576,0.19431,0.0791
02.01.2025 11:00,0.0596,0.292559,0.317356,0.623786,0.124705,0.273863,0.456918,0.590282,0,0.482394,0.878646,0.628754,0.14205,0.302876,0.427394,0.766722,0.312189,0.511746,0.68922,0.467369,0,0.15741,0.02124,0,0.611629,0.577243,0.055246,0.375454,0.485714,0.34595,0.188432,0.206071,0.19428,0.07909
02.01.2025 12:00,0.05966,0.29908,0.295462,0.598058,0.124649,0.276285,0.462502,0.592612,0,0.468528,0.884881,0.65085,0.14211,0.300056,0.427868,0.768839,0.298863,0.511696,0.649074,0.469991,0,0.15761,0.02136,0,0.616357,0.578148,0.108406,0.370184,0.465664,0.3459,0.222112,0.206181,0.19426,0.07921
02.01.2025 13:00,0.05977,0.311379,0.281486,0.588346,0.120311,0.278735,0.458221,0.59891,0,0.461959,0.877508,0.664163,0.14131,0.299492,0.430477,0.767489,0.301375,0.322742,0.661014,0.477548,0,0.15807,0.02138,0,0.620315,0.577551,0.059038,0.379287,0.41604,0.34585,0.202059,0.19702,0.19424,0.07933
02.01.2025 14:00,0.06005,0.332844,0.283186,0.601025,0.126623,0.281212,0.445566,0.615365,0,0.474548,0.876604,0.655834,0.13934,0.304569,0.429529,0,0.302184,0.385483,0.652016,0.492712,0,0.15865,0.02138,0,0.627149,0.578321,0.059227,0.393939,0.410025,0.3458,0.229994,0.210486,0.19421,0.07934
02.01.2025 15:00,0.06043,0.368619,0.285046,0.639297,0.215126,0.283716,0.415534,0.632156,0,0.462689,0.965808,0.689795,0.13648,0.356458,0.427552,0.512641,0.32147,0.932362,0.643191,0.497667,0,0.15889,0.02138,0,0.627808,0.60481,0.053596,0.419212,0.524812,0.34575,0.315901,0.287969,0.19419,0.07931
02.01.2025 16:00,0.06072,0.386027,0.310713,0.634138,0.336744,0.286274,0.364986,0.649678,0,0.467433,0.928637,0.742711,0.13369,0.423576,0.426445,0.766139,0.421431,0.932966,0.659803,0.495185,0,0.15892,0.02139,0,0.627725,0.694244,0.066185,0.439334,0.618546,0.3457,0.545474,0.378587,0.19417,0.07928
02.01.2025 17:00,0.06207,0.386516,0.434318,0.617851,0.387015,0.288805,0.363784,0.663399,0,0.502463,0.899445,0.756737,0.13106,0.474901,0.428185,0.770956,0.48478,0.893076,0.672089,0.493948,0,0.15891,0.02139,0,0.632678,0.725508,0.102453,0.486046,0.653133,0.34565,0.649074,0.382561,0.19414,0.07924
02.01.2025 18:00,0.06413,0.38532,0.457009,0.594686,0.372863,0.291337,0.375208,0.664786,0,0.52162,0.882317,0.78103,0.12861,0.494078,0.427631,0.819281,0.519818,0.976044,0.673992,0.529211,0,0.1589,0.0214,0,0.635124,0.733691,0.17188,0.443287,0.556391,0.3456,0.639725,0.387528,0.19412,0.07919
02.01.2025 19:00,0.06716,0.370014,0.45042,0.565889,0.334242,0.293841,0.401914,0.659385,0,0.53056,0.860689,0.793993,0.12636,0.503102,0.42692,0.816274,0.496317,0.905534,0.674165,0.609587,0,0.15888,0.02139,0,0.630461,0.716327,0.297406,0.430351,0.512782,0.34556,0.580248,0.390508,0.1941,0.07916
02.01.2025 20:00,0.07084,0.347136,0.433521,0.558673,0.212151,0.296317,0.437675,0.598365,0,0.537493,0.809847,0.770777,0.12472,0.498872,0.426208,0.764543,0.416578,0.694836,0.671627,0.62169,0,0.15882,0.02139,0,0.631801,0.59863,0.621924,0.439334,0.508271,0.34551,0.403715,0.368653,0.19407,0.07912
02.01.2025 21:00,0.07356,0.318498,0.395047,0.555065,0.127902,0.29874,0.439701,0.489799,0,0.520343,0.800996,0.70681,0.12345,0.431472,0.425971,0.769729,0.356209,0.318337,0.661187,0.384033,0.453125,0.15883,0.0214,0,0.628386,0.52886,0.213571,0.461612,0.448622,0.34548,0.265341,0.290397,0.19405,0.07913
02.01.2025 22:00,0.07487,0.313046,0.335477,0.555368,0.114139,0.301108,0.450757,0.56128,0,0.495895,0.680802,0.681,0.12201,0.368114,0.425734,0.768409,0.319809,0.249204,0.639903,0.339647,0.375,0.15881,0.02139,0,0.618724,0.518745,0.132996,0.37769,0.392982,0.34542,0.178902,0.226821,0.19402,0.07911
02.01.2025 23:00,0.07548,0.312285,0.35583,0.54795,0.123926,0.303394,0.451062,0.613291,0,0.480569,0.592396,0.679626,0.12036,0.280034,0.424548,0.765924,0.293967,0.373831,0.637019,0.310097,0.234375,0.15878,0.02138,0,0.60956,0.518604,0.17207,0.376572,0.430576,0.34537,0.1614,0.219978,0.194,0.07909
03.01.2025 00:00,0.07571,0.298065,0.129132,0.553716,0.123592,0.305626,0.703312,0.600103,0,0.487137,0.515107,0.678552,0.11905,0.192893,0.424311,0.756719,0.267615,0.307566,0.632981,0.176135,0,0.15876,0.02138,0,0.60601,0.52074,0.060099,0.346069,0.173935,0.34533,0.09407,0.219426,0.19397,0.07907
03.01.2025 01:00,0.07609,0.285911,0.120895,0.568452,0.125288,0.307749,0.683701,0.592816,0,0.472359,0.429252,0.659281,0.11813,0.191765,0.426682,0.754971,0.255268,0.48444,0.620638,0.178527,0,0.15871,0.02137,0,0.60515,0.520876,0.116634,0.344233,0.164912,0.34529,0.090837,0.216777,0.19395,0.07904
03.01.2025 02:00,0.07631,0.294044,0.122064,0.567912,0.124899,0.309763,0.669345,0.594241,0,0.49699,0.425731,0.652461,0.11814,0.191201,0.42439,0.755615,0.247818,0.376498,0.615331,0.177072,0,0.15868,0.02137,0,0.605515,0.519973,0.051378,0.327704,0.160902,0.34524,0.091198,0.211369,0.19393,0.07902
03.01.2025 03:00,0.07645,0.295457,0.122117,0.571453,0.130238,0.311614,0.670995,0.598611,0,0.500821,0.451222,0.644163,0.11932,0,0.424864,0.756597,0.242837,0.249153,0.610256,0.145916,0,0.15864,0.02137,0,0.601467,0.519783,0.106852,0.342077,0.137343,0.34519,0.092022,0.212693,0.1939,0.07901
03.01.2025 04:00,0.07647,0.298464,0,0.55783,0.131461,0.31341,0.666404,0.600409,0,0.471812,0.589608,0.635667,0.12163,0,0.424785,0.75991,0.248457,0.251871,0.605641,0.178408,0,0.15859,0.02136,0,0.59925,0.518608,0.108596,0.348545,0.114286,0.34515,0.092474,0.212252,0.19388,0.07899
03.01.2025 05:00,0.07645,0.291418,0,0.549838,0.148561,0.314989,0.676301,0.604645,0,0.472177,0.69161,0.621246,0.12479,0.190637,0.424548,0.762549,0.261484,0.491285,0.604949,0.211866,0,0.15855,0.02135,0,0.597863,0.519161,0.051359,0.318721,0.115288,0.34512,0.093839,0.218212,0.19385,0.07896
03.01.2025 06:00,0.07637,0.302449,0.269529,0.544915,0.170277,0.316458,0.861709,0.619684,0,0.486772,0.780942,0.63,0.12941,0.239143,0.434509,0.761935,0.283154,0.495085,0.629175,0.439215,0.296875,0.1585,0.02135,0,0.600645,0.565552,0.055189,0.332016,0.22005,0.34508,0.140071,0.21766,0.19383,0.07894
03.01.2025 07:00,0.07616,0.331015,0.323307,0.531191,0.269484,0.317765,0.892413,0.628458,0,0.5052,0.84722,0.7125,0.13445,0.353638,0,0.763009,0.377624,0.312021,0.638173,0.503061,0.453125,0.15847,0.02134,0,0.619333,0.679414,0.056763,0.359085,0.359398,0.34504,0.295908,0.354967,0.1938,0.07892
03.01.2025 08:00,0.0759,0.345941,0.365289,0.55203,0.26662,0.318854,0.781827,0.63742,0,0.505017,0.893881,0.76192,0.13971,0.35157,0.435695,0.758714,0.454723,0.247375,0.655131,0.652098,0.484375,0.15842,0.02134,0,0.622456,0.693849,0.058298,0.410588,0.520301,0.34501,0.273164,0.356181,0.19378,0.07891
03.01.2025 09:00,0.07565,0.32933,0.409927,0.565788,0.181955,0.319779,0.804793,0.640721,0,0.520525,0.869008,0.825863,0.14549,0.335589,0,0.75135,0.443697,0.940818,0.59422,0.693761,0,0.15839,0.02134,0,0.62332,0.664086,0.101941,0.454545,0.351378,0.345,0.479098,0.298565,0.19375,0.07889
03.01.2025 10:00,0.07581,0.319911,0.398714,0.516422,0.138246,0.320487,0.82792,0.653253,0,0.517241,0.899328,0.807406,0.14895,0.333145,0.436407,0.815998,0.35093,0.497451,0.614985,0.692953,0,0.15836,0.02135,0,0.627673,0.614426,0.139556,0.43622,0.264662,0.345,0.381282,0.254084,0.19373,0.07888
03.01.2025 11:00,0.07603,0.312068,0.340578,0.557493,0.132796,0.321004,0.864425,0.645784,0,0.508484,0.891104,0.748385,0.1516,0.283982,0.437593,0.888163,0.309379,0.439542,0.636788,0.667451,0,0.15833,0.02137,0,0.629087,0.581957,0.151158,0.395377,0.271679,0.34501,0.371713,0.253753,0.1937,0.07886
03.01.2025 12:00,0.07637,0.297413,0.500585,0.578197,0.134269,0.321249,0.861061,0.632165,0,0.517424,0.896934,0.72134,0.15457,0.2837,0.438779,0.888623,0.298906,0.503843,0.609794,0.672057,0,0.15829,0.02138,0,0.629826,0.582038,0.041444,0.357288,0.178446,0.34505,0.290947,0.246799,0.19368,0.07883
03.01.2025 13:00,0.07655,0.294388,0.343979,0.602306,0.136271,0.321276,0.860693,0.626958,0,0.50301,0.882593,0.702206,0.15676,0.28652,0.43024,0.891446,0.296139,0.375819,0.605295,0.602,0,0.15826,0.02139,0,0.62999,0.583115,0.023945,0.342237,0.243108,0.3451,0.284812,0.252759,0.19365,0.07881
03.01.2025 14:00,0.07642,0.302811,0.576682,0.605206,0.135048,0.321085,0.86176,0.634827,0,0.483853,0.908115,0.684841,0.15832,0.314345,0,0.891415,0.302269,0.247744,0.598373,0.551005,0,0.15823,0.0214,0,0.630612,0.5902,0.023092,0.355132,0.576942,0.34515,0.336225,0.261369,0.19363,0.07881
03.01.2025 15:00,0.07617,0.344908,0.753215,0.598125,0.225664,0.320704,0.803397,0.640454,0,0.4948,0.889561,0.695909,0.15919,0.371874,0.427631,0.891415,0.337137,0.248952,0.58926,0.4999,0,0.15821,0.02137,0,0.626902,0.615535,0.027073,0.366751,0.770927,0.34521,0.388753,0.324283,0.1936,0.07874
03.01.2025 16:00,0.0759,0.381311,0.660113,0.595731,0.39544,0.32016,0.79785,0.653821,0,0.516147,0.880912,0.778078,0.15889,0.449521,0.428106,0.889175,0.433905,0.248902,0.600277,0.493071,0,0.1582,0.02133,0,0.63004,0.69042,0.051587,0.367589,0.929323,0.34531,0.601868,0.398344,0.19358,0.07868
